ID,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,ajeng_ol,2022-01-29 22:38:36+00:00,0,Twitter for Android,"Dari awal gue emang ga setuju sama konsep ni wisata. Yang katanya ""jogja rasa bali"". Bali opone cokkk kabeh bayar😂.
Disana gue cuma bengong aja karena yang dulunya bisa ketempat itu (patuk dan pantainya) gratis jadi bayar semua dgn view yg itu itu aja cm tambah papan lope aja 🙄"
1,afaninula,2022-01-29 18:04:48+00:00,0,Twitter for Android,dipikir2 tiap ke jogja jarang main ke tempat wisata hits. banyakan makan sama jajannya wkwkwk kgn es goreng sm tahu gejrot sunmor 🥲
2,JogjaCTour,2022-01-29 17:28:37+00:00,0,twittbot.net,Wisata Alam Curug Sidoharjo https://t.co/k8L67mGYH2 #JogjaCityTour | Jogja Traveling Guide
3,ddooun,2022-01-29 17:17:58+00:00,0,Twitter for Android,Ini ke jogja jatuhnya jadi wisata kuliner😂 belum ke tempat wisata-wisata lain✨
4,JogjaCTour,2022-01-29 16:58:33+00:00,0,twittbot.net,Wisata Alam Kebun Buah Mangunan https://t.co/Mkzf229rU3 #JogjaCityTour | Jogja Traveling Guide
5,undipmenfess,2022-01-29 16:48:19+00:00,2,warga unchdeep,#NAME?
6,idbcpr,2022-01-29 16:33:15+00:00,1,Awtoshare,"Jelajah Wisata Jogja -  Yuk jelajah tempat wisata Jogja ini!! - photo today by  taken around Goa Langse, Parangtritis, Bantul.... - https://t.co/A6awG7DECA"
7,cafeineJohn,2022-01-29 16:24:37+00:00,0,Twitter for iPhone,jongin x wisata jogja 😔😔😔😔
8,JogjaMention,2022-01-29 16:00:40+00:00,0,twittbot.net,Liburan or Butuh Mobil di #Jogja Sewa Aja di cahyatransport Lengkap Dengan Paket Wisata All-In Dengan Mobilnya | 085293030433 BB 792BD523
9,hyachint_,2022-01-29 15:35:49+00:00,0,Twitter for Android,"@rifqiprobo Boro2 wisata probs, keluar jalan aspal udah macet. Mending bobo cantik di rumah, lama2 orang jogja jd putih kelamaan di rumah"
10,ekmargol,2022-01-29 15:35:31+00:00,0,Twitter for Android,"@schfess smp ke jogja-solo tempat wisata gitu, sma ke bali, ke univ univ gituj"
11,JogjaCTour,2022-01-29 14:58:54+00:00,0,twittbot.net,Wisata Alam Curug Nglarangan https://t.co/opLgvvt1o2 #JogjaCityTour | Jogja Traveling Guide
12,soloposdotcom,2022-01-29 14:42:05+00:00,0,dlvr.it,"Muncul Kasus Covid-19 Probable Omicron, Bagaimana Nasib Wisata Jogja? https://t.co/6S6PxE7cbL"
13,JogjaCTour,2022-01-29 14:28:52+00:00,0,twittbot.net,Wisata Alam Curug Sidoharjo https://t.co/k8L67moPsU #JogjaCityTour | Jogja Traveling Guide
14,ELHunae,2022-01-29 13:20:52+00:00,1,Twitter for Android,"Rekomen tempat makan di jogja, boleh sama tempat wisata nya juga"
15,hangrydsaster,2022-01-29 13:04:16+00:00,0,Twitter for Android,Ini fyp tiktok isinya wisata jogja semua dah
16,Sutrizno_17,2022-01-29 12:59:45+00:00,0,Twitter for Android,Rekomendasi wisata di Jogja yg bagus tp pas d kantong😂
17,Julpikrar,2022-01-29 12:55:32+00:00,1,Twitter for Android,@mu_hadi343 Tambah tak dungakno gak payu seng wisata aneh aneh ngilangno asline jogja
18,mu_hadi343,2022-01-29 12:46:27+00:00,1,Twitter for Android,"Bulan depan plan liburan ke jogja. Dan wisata foto kaya gini, udah gak bakal ak masukin ke itenary ku 😂"
19,rifqiprobo,2022-01-29 12:35:44+00:00,0,Twitter Web App,"hypothetically, UMR Jogja ngga bisa wisata di tempat wisata di Jogja"
20,JogjaCTour,2022-01-29 12:29:00+00:00,0,twittbot.net,"Jogja Traveling Guide.
Informasi Wisata #Jogjakarta
https://t.co/ryZy9Ta8vO
#JogjaCityTour"
21,JogjaCTour,2022-01-29 11:58:52+00:00,0,twittbot.net,Wisata Alam Curug Nglarangan https://t.co/opLgvvK4q2 #JogjaCityTour | Jogja Traveling Guide
22,kominfodiy,2022-01-29 11:23:35+00:00,2,Twitter Web App,"VAKSIN BOOSTER WISATA

THE DINAMIC SINERGY AND HEALTH, QUALITY TOURISM YOGYAKARTA

Dinamika Sinergi dan Kualitas Kesehatan Pariwisata Yogyakarta

🗓️ Senin, 31 Januari 2022
⏰ 08.30 - 12.00 WIB
🏖 Jogja Bay Water Park
📝 Pendaftaran melalui https://t.co/yZo0s4poOt https://t.co/XsymGXwnsp"
23,wanskyhigh,2022-01-29 11:12:34+00:00,0,Twitter for Android,"@Cangkemaaannnnn @txtfrombrand wong ngendi wae iso mrono, opo meneh nang jogja kota wisata sopo wae iso mlebu sing duit e akeh mah ."
24,henrysubiakto,2022-01-29 10:56:31+00:00,81,Twitter for iPhone,"Tadi saya naik ke Kinahrejo, kaki gunung Merapi Jogja. Dulu saat kuliah sy sering camping disitu. Alhamdulillah wilayah itu sdh jd kawasan wisata lava yg ramai dg ekonomi yg maju. Banyak rumah makan, cafe hingga sewa jip dll yg laris. Ini dulunya musibah skrg berubah jd berkah. https://t.co/Pjwt6p8hPZ"
25,JogjaRavers,2022-01-29 10:55:56+00:00,0,twittbot.net,Sambut Pagi bersama Merapi dari Desa Wisata Trumpon Tempel Sleman #Jogja
26,lulu_fery,2022-01-29 10:42:14+00:00,0,Twitter for Android,"Wisata jogja yg bagus ya yg alami, bunker merapi, sri gethuk dll. Heha ini dibilang jelek aja blm pantes"
27,nopnopkim,2022-01-29 10:25:47+00:00,0,Twitter for Android,"Hari ini nyore di Alkid jogja bareng kluarga
Pengen banget kapan ya gw nyore di alkid jogja bareng yg tersayang...
Wkkwkw
Suka iri melihat org pada uwu2an di pusat2 wisata"
28,inavonlea,2022-01-29 07:37:23+00:00,0,Twitter Web App,@worchestersire @everyonewoo dulu kamu yang ke jogja itu ngga banyak main ke tempat wisata ya? :(
29,clearandclear,2022-01-29 07:04:41+00:00,1,Twitter for iPhone,"Wisata ini harusnya di pindah ke Karawang aja sih, UMR-nya disana masuk kalo untuk wisata ini. Kalo di Jogja, warga lokal sekitar belum tentu bisa menikmati wisata ini."
30,tariiagustin,2022-01-29 06:10:00+00:00,0,Twitter for iPhone,"JANGAN KE JOGJA DULU SEBELUM NONTON INI  ||   WISATA KULINER DAN OLEH-OLEH JOGJA-SOLO-WONOGIRI
https://t.co/Pv4ZGtiL2c"
31,hatzel,2022-01-29 06:00:01+00:00,0,Twitter for Android,"daget cibu
ini wisata mana? 
clue : jogja https://t.co/hvzuV34OAk"
32,TiketPesawatPro,2022-01-29 05:28:32+00:00,0,twittbot.net,#wisataaceh #wisatasemarang #wisatajogja agen tiket pesawat murah di malang KLIK https://t.co/xaAlCMPOh2
33,visiting_jogja,2022-01-29 05:17:38+00:00,0,Twitter for iPhone,"Bupati Kulon Progo, H. Sutedjo secara resmi melaunching Calendar Of Event (COE) Tahun 2022 Wisata Kulon Progo sekaligus membuka gelaran Pameran Ekonomi Kreatif “Desa Wisata Menebar Pesona”. Acara juga dimeriahkan dengan penampilan apik dari maestro tari @DidikNT"
34,JogjaCTour,2022-01-29 04:28:50+00:00,0,twittbot.net,Wisata Alam Kebun Buah Mangunan https://t.co/Mkzf22quW3 #JogjaCityTour | Jogja Traveling Guide
35,heppy_yanuar,2022-01-29 04:23:14+00:00,0,Twitter for Android,@Heraloebss Kapan wisata ke Jogja
36,JogjaCTour,2022-01-29 02:58:43+00:00,0,twittbot.net,"Jogja Traveling Guide.
Informasi Wisata #Jogjakarta
https://t.co/ryZy9ST5tO
#JogjaCityTour"
37,DaniMurdock,2022-01-29 02:24:21+00:00,0,Instagram,"Let's rock n roll ..
@wisatajogja_eksotis 

#wisatajogja #wisatajogjatour #wisatayogya #lavatour @ Grinata Adventure https://t.co/g4kKhoBerJ"
38,Harian_Jogja,2022-01-29 02:24:04+00:00,0,dlvr.it,"Wisata Jogja: Malioboro Sudah Berubah, Begini Panduan Berbelanja bagi Wisatawan https://t.co/AMPRM8X5Bb #beritajogja #jogja #jogjaistimewa https://t.co/hvGisJCB8e"
39,JogjaCTour,2022-01-29 01:58:42+00:00,0,twittbot.net,Wisata Alam Curug Sidoharjo https://t.co/k8L67moPsU #JogjaCityTour | Jogja Traveling Guide
